time_hours,brightness
0,1.001
1,0.999
2,1.000
3,1.002
4,0.998
5,1.001
6,1.000
7,0.999
8,1.001
9,0.998
10,1.000
11,0.999
12,1.001
13,0.997
14,0.998
15,0.994
16,0.990
17,0.986
18,0.982
19,0.979
20,0.978
21,0.979
22,0.981
23,0.984
24,0.988
25,0.992
26,0.995
27,0.998
28,1.000
29,1.001
30,0.999
31,1.000
32,1.002
33,0.999
34,1.000
35,0.998
36,1.001
37,1.000
38,0.999
39,1.001
40,0.998
41,1.000
42,0.999
43,1.001
44,1.000
45,0.998
46,0.999
47,1.001
48,1.000
49,0.999
50,1.002
